Hprev,Cprev,Deaths,output,replicate
12.0,46.7142857142857,3343,46,8
36.5714285714286,84.5714285714286,2965,46,9
69.0,106.428571428571,2672,46,10
44.4285714285714,72.2857142857143,2812,46,11
58.0,92.4285714285714,2698,46,12
38.2857142857143,87.7142857142857,2795,46,13
27.0,63.0,3179,46,14
16.4285714285714,51.8571428571429,3306,46,15
26.5714285714286,67.2857142857143,3189,46,16
59.7142857142857,90.7142857142857,2689,46,17
47.0,88.5714285714286,2793,46,18
86.4285714285714,100.857142857143,2531,46,19
52.7142857142857,72.7142857142857,2801,46,20
80.8571428571429,101.714285714286,2258,47,1
202.0,189.571428571429,1943,47,2
245.285714285714,208.714285714286,1929,47,3
59.7142857142857,90.5714285714286,2216,47,4
46.2857142857143,73.8571428571429,2403,47,5
482.714285714286,245.285714285714,1543,47,6
110.428571428571,134.857142857143,2067,47,7
67.2857142857143,98.2857142857143,2234,47,8
53.2857142857143,81.7142857142857,2356,47,9
48.4285714285714,84.1428571428571,2311,47,10
131.0,120.714285714286,2112,47,11
180.142857142857,162.0,1932,47,12
78.4285714285714,113.0,2269,47,13
451.714285714286,229.0,1608,47,14
489.0,240.857142857143,1577,47,15
176.285714285714,138.142857142857,2051,47,16
482.857142857143,245.142857142857,1618,47,17
76.4285714285714,107.714285714286,2186,47,18
83.7142857142857,102.142857142857,2231,47,19
93.5714285714286,125.142857142857,2096,47,20
395.0,197.285714285714,1389,48,1
601.428571428571,186.285714285714,981,48,2
114.714285714286,107.857142857143,1769,48,3
161.142857142857,31.5714285714286,132,48,4
389.714285714286,193.142857142857,1439,48,5
403.428571428572,198.285714285714,1353,48,6
427.571428571429,199.428571428571,1330,48,7
635.428571428571,177.571428571429,780,48,8
621.857142857143,182.857142857143,952,48,9
152.714285714286,126.714285714286,1708,48,10
188.142857142857,143.142857142857,1673,48,11
299.428571428571,187.857142857143,1516,48,12
269.857142857143,176.714285714286,1578,48,13
435.142857142857,218.0,1251,48,14
636.857142857143,210.571428571429,882,48,15
360.857142857143,183.857142857143,1413,48,16
472.0,194.0,1215,48,17
345.142857142857,171.285714285714,1428,48,18
0,0,0,48,19
385.428571428571,181.142857142857,1374,48,20
184.142857142857,33.4285714285714,189,49,1
327.571428571429,80.0,343,49,2
266.0,61.2857142857143,265,49,3
202.142857142857,49.4285714285714,149,49,4
228.142857142857,52.1428571428571,261,49,5
320.571428571429,70.8571428571429,319,49,6
252.0,67.0,238,49,7
400.857142857143,143.0,859,49,8
355.285714285714,84.4285714285714,382,49,9
219.0,51.8571428571429,201,49,10
150.0,28.1428571428571,149,49,11
390.714285714286,99.1428571428571,501,49,12
355.428571428571,100.0,453,49,13
186.428571428571,36.5714285714286,170,49,14
298.285714285714,68.5714285714286,291,49,15
164.857142857143,37.2857142857143,170,49,16
104.285714285714,33.7142857142857,88,49,17
282.571428571429,61.5714285714286,304,49,18
403.0,102.142857142857,540,49,19
417.0,107.142857142857,564,49,20
14.0,2.71428571428571,11,50,1
0,0,0,50,2
1.28571428571429,0.0,1,50,3
7.85714285714286,2.28571428571429,7,50,4
0,0,0,50,5
12.0,3.71428571428571,16,50,6
73.2857142857143,19.0,94,50,7
36.1428571428571,6.28571428571429,37,50,8
51.7142857142857,22.7142857142857,96,50,9
4.14285714285714,2.14285714285714,6,50,10
92.0,21.1428571428571,111,50,11
77.5714285714286,23.1428571428571,105,50,12
3.0,0.0,5,50,13
2.42857142857143,0.142857142857143,2,50,14
29.4285714285714,4.28571428571429,30,50,15
19.2857142857143,3.42857142857143,21,50,16
30.2857142857143,9.0,24,50,17
57.7142857142857,10.1428571428571,59,50,18
8.42857142857143,2.71428571428571,14,50,19
0,0,0,50,20
0,0,0,51,1
0.428571428571429,0.0,0,51,2
1.14285714285714,0.428571428571429,0,51,3
1.14285714285714,2.0,5,51,4
0.0,0.0,0,51,5
0.0,0.0,0,51,6
0.714285714285714,0.571428571428571,0,51,7
2.42857142857143,1.28571428571429,5,51,8
0.0,0.0,0,51,9
3.85714285714286,0.285714285714286,7,51,10
0,0,0,51,11
3.14285714285714,1.85714285714286,2,51,12
1.42857142857143,0.857142857142857,1,51,13
0,0,0,51,14
0.0,0.0,0,51,15
0.142857142857143,0.0,0,51,16
0.0,0.0,0,51,17
1.28571428571429,0.0,3,51,18
0.0,1.0,0,51,19
0.285714285714286,0.0,1,51,20
0.0,0.0,0,52,1
0,0,0,52,2
0,0,0,52,3
0,0,0,52,4
0.0,0.0,0,52,5
0,0,0,52,6
0,0,0,52,7
0,0,0,52,8
0,0,0,52,9
0,0,0,52,10
0,0,0,52,11
0,0,0,52,12
0,0,0,52,13
0,0,0,52,14
0,0,0,52,15
0,0,0,52,16
0,0,0,52,17
0,0,0,52,18
0,0,0,52,19
0,0,0,52,20
0,0,0,53,1
0,0,0,53,2
0,0,0,53,3
0,0,0,53,4
0,0,0,53,5
0,0,0,53,6
0,0,0,53,7
0,0,0,53,8
0,0,0,53,9
0,0,0,53,10
0,0,0,53,11
0,0,0,53,12
0,0,0,53,13
0,0,0,53,14
0,0,0,53,15
0,0,0,53,16
0,0,0,53,17
0,0,0,53,18
0,0,0,53,19
0,0,0,53,20
0,0,0,54,1
0,0,0,54,2
0,0,0,54,3
0,0,0,54,4
0,0,0,54,5
0,0,0,54,6
0,0,0,54,7
0,0,0,54,8
0,0,0,54,9
0,0,0,54,10
0,0,0,54,11
0,0,0,54,12
0,0,0,54,13
0,0,0,54,14
0,0,0,54,15
0,0,0,54,16
0,0,0,54,17
0,0,0,54,18
0,0,0,54,19
0,0,0,54,20
0.428571428571429,31.2857142857143,5287,55,1
8.71428571428571,45.1428571428571,5262,55,2
15.8571428571429,67.5714285714286,5139,55,3
28.4285714285714,83.5714285714286,5199,55,4
13.1428571428571,39.2857142857143,5224,55,5
10.8571428571429,50.5714285714286,5229,55,6
13.2857142857143,49.2857142857143,5280,55,7
13.1428571428571,72.7142857142857,5198,55,8
13.1428571428571,47.0,5212,55,9
4.0,35.1428571428571,5192,55,10
17.4285714285714,47.5714285714286,5268,55,11
13.1428571428571,47.1428571428571,5180,55,12
10.0,38.4285714285714,5252,55,13
8.85714285714286,55.5714285714286,5184,55,14
12.5714285714286,46.4285714285714,5314,55,15
20.8571428571429,57.8571428571429,5215,55,16
8.42857142857143,48.8571428571429,5237,55,17
7.71428571428571,29.2857142857143,5277,55,18
17.4285714285714,55.4285714285714,5256,55,19
15.0,46.0,5221,55,20
