P(EA),Hprev,Cprev,Deaths,replicate
0.7,0,0,0,5
0.7,0,0,0,6
0.7,0,0,0,7
0.7,0,0,0,8
0.7,0,0,2,9
0.7,0,0,0,10
0.7,1.285714286,0.142857143,2,11
0.7,0,0,0,12
0.7,0,0,0,13
0.7,0,0,0,14
0.7,0.285714286,0,0,15
0.7,0,0,0,16
0.7,1.571428571,0.142857143,8,17
0.7,0,0,0,18
0.7,0,0,0,19
0.7,0,0,0,20
0.8,0,0,0,1
0.8,0,0,0,2
0.8,0,0,0,3
0.8,0,0,0,4
0.8,0,0,0,5
0.8,0,0,0,6
0.8,0,0,0,7
0.8,0,0,0,8
0.8,0,0,0,9
0.8,0,0,0,10
0.8,0,0,0,11
0.8,0,0,0,12
0.8,0,0,0,13
0.8,0,0,0,14
0.8,0,0,0,15
0.8,0,0,0,16
0.8,0,0,0,17
0.8,0,0,0,18
0.8,0,0,0,19
0.8,0,0,0,20
0.9,0,0,0,1
0.9,0,0,0,2
0.9,0,0,0,3
0.9,0,0,0,4
0.9,0,0,0,5
0.9,0,0,0,6
0.9,0,0,0,7
0.9,0,0,0,8
0.9,0,0,0,9
0.9,0,0,0,10
0.9,0,0,0,11
0.9,0,0,0,12
0.9,0,0,0,13
0.9,0,0,0,14
0.9,0,0,0,15
0.9,0,0,0,16
0.9,0,0,0,17
0.9,0,0,0,18
0.9,0,0,0,19
0.9,0,0,0,20
1,0,0,0,1
1,0,0,0,2
1,0,0,0,3
1,0,0,0,4
1,0,0,0,5
1,0,0,0,6
1,0,0,0,7
1,0,0,0,8
1,0,0,0,9
1,0,0,0,10
1,0,0,0,11
1,0,0,0,12
1,0,0,0,13
1,0,0,0,14
1,0,0,0,15
1,0,0,0,16
1,0,0,0,17
1,0,0,0,18
1,0,0,0,19
1,0,0,0,20
